File,Feature,% Outliers
bus_raw.csv,acc_phone_X,0.0
bus_raw.csv,acc_phone_Y,1.24
bus_raw.csv,acc_phone_Z,1.14
bus_raw.csv,gyr_phone_X,0.42
bus_raw.csv,gyr_phone_Y,0.72
bus_raw.csv,gyr_phone_Z,0.57
bus_raw.csv,lin_acc_phone_X,1.12
bus_raw.csv,lin_acc_phone_Y,0.82
bus_raw.csv,lin_acc_phone_Z,0.87
bus_raw.csv,location_phone_Direction,502.74
bus_raw.csv,location_phone_Height,492.81
bus_raw.csv,location_phone_Horizontal Accuracy,482.35
bus_raw.csv,location_phone_Latitude,482.35
bus_raw.csv,location_phone_Longitude,482.35
bus_raw.csv,location_phone_Velocity,493.7
bus_raw.csv,location_phone_Vertical Accuracy,482.35
bus_raw.csv,mag_phone_X,0.0
bus_raw.csv,mag_phone_Y,0.75
bus_raw.csv,mag_phone_Z,0.42
bus_raw.csv,proximity_phone_Distance,35790.91
car_raw.csv,acc_phone_X,0.0
car_raw.csv,acc_phone_Y,0.44
car_raw.csv,acc_phone_Z,0.4
car_raw.csv,gyr_phone_X,0.15
car_raw.csv,gyr_phone_Y,0.25
car_raw.csv,gyr_phone_Z,0.2
car_raw.csv,lin_acc_phone_X,0.39
car_raw.csv,lin_acc_phone_Y,0.29
car_raw.csv,lin_acc_phone_Z,0.31
car_raw.csv,location_phone_Direction,117.04
car_raw.csv,location_phone_Height,115.59
car_raw.csv,location_phone_Horizontal Accuracy,115.17
car_raw.csv,location_phone_Latitude,115.17
car_raw.csv,location_phone_Longitude,115.17
car_raw.csv,location_phone_Velocity,116.07
car_raw.csv,location_phone_Vertical Accuracy,115.17
car_raw.csv,mag_phone_X,0.0
car_raw.csv,mag_phone_Y,0.26
car_raw.csv,mag_phone_Z,0.15
car_raw.csv,proximity_phone_Distance,32808.33
metro_raw.csv,acc_phone_X,0.0
metro_raw.csv,acc_phone_Y,1.32
metro_raw.csv,acc_phone_Z,1.22
metro_raw.csv,gyr_phone_X,0.45
metro_raw.csv,gyr_phone_Y,0.77
metro_raw.csv,gyr_phone_Z,0.61
metro_raw.csv,lin_acc_phone_X,1.19
metro_raw.csv,lin_acc_phone_Y,0.87
metro_raw.csv,lin_acc_phone_Z,0.92
metro_raw.csv,location_phone_Direction,1241.73
metro_raw.csv,location_phone_Height,833.42
metro_raw.csv,location_phone_Horizontal Accuracy,830.38
metro_raw.csv,location_phone_Latitude,830.38
metro_raw.csv,location_phone_Longitude,830.38
metro_raw.csv,location_phone_Velocity,962.87
metro_raw.csv,location_phone_Vertical Accuracy,830.38
metro_raw.csv,mag_phone_X,0.0
metro_raw.csv,mag_phone_Y,0.79
metro_raw.csv,mag_phone_Z,0.45
metro_raw.csv,proximity_phone_Distance,65616.67
train_raw.csv,acc_phone_X,0.0
train_raw.csv,acc_phone_Y,1.2
train_raw.csv,acc_phone_Z,1.11
train_raw.csv,gyr_phone_X,0.41
train_raw.csv,gyr_phone_Y,0.7
train_raw.csv,gyr_phone_Z,0.55
train_raw.csv,lin_acc_phone_X,1.08
train_raw.csv,lin_acc_phone_Y,0.79
train_raw.csv,lin_acc_phone_Z,0.84
train_raw.csv,location_phone_Height,5309.68
train_raw.csv,location_phone_Horizontal Accuracy,5290.32
train_raw.csv,location_phone_Latitude,5290.32
train_raw.csv,location_phone_Longitude,5290.32
train_raw.csv,location_phone_Vertical Accuracy,5290.32
train_raw.csv,mag_phone_X,0.0
train_raw.csv,mag_phone_Y,0.72
train_raw.csv,mag_phone_Z,0.41
train_raw.csv,proximity_phone_Distance,131233.33
tram_raw.csv,acc_phone_X,0.0
tram_raw.csv,acc_phone_Y,1.85
tram_raw.csv,acc_phone_Z,1.7
tram_raw.csv,gyr_phone_X,0.63
tram_raw.csv,gyr_phone_Y,1.07
tram_raw.csv,gyr_phone_Z,0.85
tram_raw.csv,lin_acc_phone_X,1.67
tram_raw.csv,lin_acc_phone_Y,1.22
tram_raw.csv,lin_acc_phone_Z,1.3
tram_raw.csv,location_phone_Direction,540.59
tram_raw.csv,location_phone_Height,492.08
tram_raw.csv,location_phone_Horizontal Accuracy,490.28
tram_raw.csv,location_phone_Latitude,490.28
tram_raw.csv,location_phone_Longitude,490.28
tram_raw.csv,location_phone_Velocity,498.18
tram_raw.csv,location_phone_Vertical Accuracy,490.28
tram_raw.csv,mag_phone_X,0.0
tram_raw.csv,mag_phone_Y,1.11
tram_raw.csv,mag_phone_Z,0.63
tram_raw.csv,proximity_phone_Distance,56242.86
walking_raw.csv,acc_phone_X,0.0
walking_raw.csv,acc_phone_Y,1.6
walking_raw.csv,acc_phone_Z,1.47
walking_raw.csv,gyr_phone_X,0.54
walking_raw.csv,gyr_phone_Y,0.93
walking_raw.csv,gyr_phone_Z,0.73
walking_raw.csv,lin_acc_phone_X,1.44
walking_raw.csv,lin_acc_phone_Y,1.05
walking_raw.csv,lin_acc_phone_Z,1.12
walking_raw.csv,location_phone_Direction,941.03
walking_raw.csv,location_phone_Height,873.21
walking_raw.csv,location_phone_Horizontal Accuracy,870.03
walking_raw.csv,location_phone_Latitude,870.03
walking_raw.csv,location_phone_Longitude,870.03
walking_raw.csv,location_phone_Velocity,938.18
walking_raw.csv,location_phone_Vertical Accuracy,870.03
walking_raw.csv,mag_phone_X,0.0
walking_raw.csv,mag_phone_Y,0.96
walking_raw.csv,mag_phone_Z,0.54
walking_raw.csv,proximity_phone_Distance,32808.33
